Iteration,Walker,Theta_1,Theta_2,Theta_3,Theta_4,Inner Cost,Outer Cost,Gradient Cost
1,10,-5.8189046368472885,-5.520228271974559,-7.135853211668353,-2.5591199949068724,0.10325586881766018,4.336386741724486e-05,0.10321250495024294
1,11,-6.88371821603034,-3.033829808288855,-5.429580765741091,-5.623919753708851,0.05917534941246035,0.00010724835016137564,0.059068101062298976
1,12,-6.905650273565934,-4.999755817364783,-6.586181261774619,-3.2788257549248936,0.016722022915650083,7.844892835527602e-06,0.016714178022814555
1,13,-3.2563555732561844,-1.8780130863811424,-7.311407995599066,-5.577117787987116,161.9957935907613,27.030592330502405,134.9652012602589
1,14,-3.1807994549880014,-5.857377471654187,-6.473190164989911,-5.6765011863718975,3.172259143406006,0.015577168230194335,3.156681975175812
2,0,-4.14476565850023,-8.064649578635354,-6.764271028196672,-6.786949542765898,0.47920218676748727,0.0005227110330795939,0.47867947573440767
2,1,-8.233130125422752,-5.465552167477906,-2.9346908374239167,-6.695273299839817,9.727384332822105,0.19520605630420998,9.532178276517895
2,2,-10.771818834727402,-3.978346657386097,-9.27167972779042,-4.735780872475249,0.0007236001465620955,4.415505135607057e-06,0.0007191846414264884
2,3,-5.981820863940008,-5.080190097883411,-9.086651356018058,-4.548686073958564,0.009117392623827752,8.925734748776822e-06,0.009108466889078974
2,4,-3.618304472970879,-5.119075904894945,-4.968453833084743,-4.274913985733829,1.215043481881588,0.004351296208298506,1.2106921856732895
2,5,-4.949906274544048,-8.072876905734422,-10.330500163089127,-4.092447234194735,0.0956265272840772,5.907345065753785e-05,0.09556745383341966
2,6,-9.881430332731103,-8.537920028530353,-5.989051641600649,-4.361883433920822,0.02314261610367297,2.0588290737867612e-05,0.023122027812935105
2,7,-4.355611006440011,-3.981445292033439,-2.060513829661504,-5.040082129475155,48.86234097965742,3.5024172577605195,45.3599237218969
2,8,-7.285565457768192,-5.870676527927633,-7.381151868640752,-2.415098478072852,0.15099383010233391,6.760277985410232e-05,0.15092622732247982
2,9,-4.68762483868072,-5.217379969189631,-4.303786968276883,-2.740641872889409,10.641789475516608,0.18315673920843167,10.458632736308177
2,10,-6.551981041830924,-6.467222307755095,-3.572952962772687,-4.2676463824971655,2.7912683581710347,0.008833137752826277,2.7824352204182086
2,11,-3.6803497787104065,-9.308614064646793,-9.841615951930326,-4.2049590313035585,1.2728443074550833,0.0023796603928753594,1.2704646470622079
2,12,-5.900705421262076,-5.071294902982392,-6.599062328728689,-3.990080384281292,0.014143207960920985,1.2011853649339656e-05,0.014131196107271645
2,13,-5.163001992284196,-4.024215248637656,-6.921944475210854,-5.467637969405276,0.04344809518976507,4.431987162153228e-05,0.04340377531814354
