Iteration,Walker,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Outer Cost
0,18,-8.468731373882605,-2.625128246930271,-10.289298070980928,-2.959083830007549,-2.2383446601897337,-4.575565635885433,-5.307113111855556,-3.4272183357431167,-1.6932220932776483,-0.7122504976271057,-0.5782333709862744,488.7342937131806
0,19,-8.56327359121604,-2.541590660941751,-10.188109288576008,-2.994032959486632,-2.6564969690116778,-4.748996854171685,-5.168119219675683,-3.5035517727174588,-1.9857124875860692,-0.8193790602992613,-0.6002742136066319,580.8733740711679
0,20,-8.491766504301319,-2.6568608336632087,-10.257393206675909,-3.079728255394492,-2.3294204359558073,-4.561658398926845,-5.212760263573186,-3.4208522330077664,-1.8264983315945642,-0.5030079004129311,-0.5726990610237679,914.8842779664199
0,21,-8.368930424991913,-2.7813185318956926,-10.332204030874681,-2.7691358163006403,-2.5279771092702563,-4.4609576444233205,-5.375625535046184,-3.3924118835911727,-1.9305527749242903,-0.7341723280059879,-0.7174212950581044,928.3415150123601
0,22,-8.372898877369934,-2.681792974715357,-10.276862802622288,-2.770681818649535,-2.3461139953194796,-4.668827640924861,-5.234213506925679,-3.3837109113575745,-1.8372305797757829,-0.6149215646597795,-0.6239037250993964,968.7441801725216
0,23,-8.361187373927228,-2.772450572111017,-10.12824093972297,-2.7682587904284675,-2.280522377678259,-4.764059961793861,-5.242216756137893,-3.447506258354802,-1.8137464182671679,-0.5556752637487672,-0.8094702125836057,1186.1887900676988
0,24,-8.445168559349332,-2.7663095251714593,-10.39967045305187,-3.051412107692786,-2.559695468344848,-4.755350183475133,-5.076674188850676,-3.4855119290335983,-2.0002582238522666,-0.5076189728379299,-0.5759393366082945,633.7734367755336
0,25,-8.454729017926459,-2.470231137846629,-10.210637856363132,-3.0831459640980885,-2.4303562297110464,-4.488581139553846,-5.297888644486024,-3.5988113560252555,-1.846748814041015,-1.0010263310917604,-0.749336513519981,781.1092101331813
0,26,-8.270988806825486,-2.7063563445356618,-10.262239550827541,-3.004594083096987,-2.548988499648892,-4.632168837352186,-5.140004121884881,-3.515800970752639,-1.9626590486858735,-0.6635230705113673,-0.8297788768941791,476.90376866250256
0,27,-8.381731272658204,-2.5563700437497423,-10.38986444481538,-2.8978088178110437,-2.267234679110295,-4.785855169887648,-5.150949115574311,-3.448576533209676,-2.089699137759336,-0.7970108084122148,-0.6419963188104209,668.173743956505
0,28,-8.508721010526038,-2.4167668780311105,-10.270233940222088,-2.913903339629032,-2.4181680743392335,-4.530670474147444,-5.244926619177354,-3.377061658080977,-1.9954112128733537,-0.736288919275741,-0.747910772389669,485.5783041031886
0,29,-8.420913098892969,-2.7822280113238214,-10.370043474777857,-2.794025670798267,-2.2395902570098545,-4.670422546933633,-5.224924767334931,-3.5118320482864647,-1.8787375021047419,-0.8118507706591725,-0.6251535662513874,994.749206197235
